"","levels","maxs","p","ldiff"
"0.8",0.390243902439024,0.137749116392912,0.2,0.0261125195658418
"0.9",0.447513812154696,0.112510224339897,0.25,0.035485555258133
"1",0.5,0.102000149833963,0.2,0.0494251975638509
"1.1",0.547511312217195,0.0966020502467696,0.3,0.0551275598515012
"1.2",0.590163934426229,0.1005107546288,0.25,0.0595916778520021
"1.5",0.692307692307692,0.121590756817871,0.25,0.0820532478147799
"1.8",0.764150943396226,0.158462791593589,0.3,0.0978937310598667
"2",0.8,0.184207517572115,0.35,0.109322282373306
"2.2",0.828767123287671,0.2132408180334,0.3,0.121821268661345
"3",0.9,0.319331332323239,0.35,0.141947491029858
"5",0.961538461538461,0.529423680390341,0.4,0.165825471684932
"10",0.99009900990099,0.852720725269596,0.35,0.177993680142308
