"","levels","stage","maxs","p","ldiff"
"0.2",0.2,"f",-0.276409755045283,0.15,0.00336857835877935
"0.4",0.4,"f",-0.140854946063102,0.25,0.0174520225208042
"0.6",0.6,"f",-0.0462022252676794,0.25,0.0274785411590522
"0.8",0.8,"f",0.03476127819373,0.25,0.0447688612870559
"1",1,"f",0.100253935627264,0.25,0.0452265666413734
"1.2",1.2,"f",0.158357351628283,0.25,0.0547055309857007
"1.4",1.4,"f",0.208856992956828,0.2,0.0573832774585727
"1.6",1.6,"f",0.255354575695906,0.25,0.0597496385640131
"1.8",1.8,"f",0.296087347601893,0.25,0.0608759151587071
"2",2,"f",0.331824851295719,0.2,0.065739558064161
"j.0.2",0.2,"j",-0.277931384017383,0.05,0.00140825499467201
"j.0.4",0.4,"j",-0.144837508939822,0.2,0.015189606911136
"j.0.6",0.6,"j",-0.042202465744675,0.3,0.0353572535114746
"j.0.8",0.8,"j",0.0346976581218238,0.2,0.0416910519660884
"j.1",1,"j",0.102543738550942,0.2,0.0491048706599503
"j.1.2",1.2,"j",0.158400176425521,0.2,0.049924267696009
"j.1.4",1.4,"j",0.210224897364539,0.3,0.055738711541346
"j.1.6",1.6,"j",0.254361070842651,0.25,0.057816389555597
"j.1.8",1.8,"j",0.295613250083209,0.3,0.058894203457935
"j.2",2,"j",0.330938200492145,0.2,0.060599991499609
"a.0.2",0.2,"a",-0.225612554890569,0.35,0.149369979642678
"a.0.4",0.4,"a",-0.144201735893201,0.2,0.098831898798937
"a.0.6",0.6,"a",-0.0582676812487357,0.3,0.0728899622765133
"a.0.8",0.8,"a",0.0226529185504815,0.25,0.0565183583056004
"a.1",1,"a",0.10080718122438,0.3,0.0446651100003832
"a.1.2",1.2,"a",0.178138188355936,0.2,0.035970548712119
"a.1.4",1.4,"a",0.24869905977856,0.25,0.025908076617779
"a.1.6",1.6,"a",0.321092126044846,0.3,0.015957542862964
"a.1.8",1.8,"a",0.389378198051437,0.25,0.01422771731747
"a.2",2,"a",0.454494335311036,0.1,0.00465187421011198
