"","levels","maxsopp","p","ldiff"
"0.2",0.2,0.9031053998876,0.45,0.0517481476076946
"0.3",0.3,0.556331601797197,0.4,0.046070089675309
"0.4",0.4,0.361193187041494,0.35,0.0408106026984619
"0.6",0.6,0.190607733297262,0.35,0.0270165172231842
"0.8",0.8,0.157336395480177,0.25,0.0180256847854542
"1",1,0.16844286274174,0.25,0.0101457955628486
"1.2",1.2,0.197735227145729,0.5,0.00898012725752281
"1.5",1.5,0.253798307716638,0.45,0.0048541813681208
"1.8",1.8,0.314994442127099,0.25,0.00384504356606502
"2.2",2.2,0.387320449835837,0.3,0.00198870194938666
"3",3,0.512018803256915,0.15,0.00231608300244202
"5",5,0.744169356454456,0.05,0.00465717029775947
