"","levels","maxlamO","p","ldiff"
"0.8",0.390243902439024,0.228077115994387,0,0
"0.9",0.447513812154696,0.239179698808585,0,0
"1",0.5,0.254848323666205,0.05,0.00210180268593135
"1.1",0.547511312217195,0.278630076271049,0,0
"1.2",0.590163934426229,0.302988701818698,0,0
"1.5",0.692307692307692,0.371640849159797,0.05,1.10314759390606e-05
"1.8",0.764150943396226,0.43687371050386,0,0
"2",0.8,0.475580329440295,0,0
"2.2",0.828767123287671,0.513932801198992,0,0
"3",0.9,0.643768192486241,0,0
"5",0.961538461538461,0.87257941767834,0.35,0.000806256284529128
"10",0.99009900990099,1.20633555053096,0.1,0.00366666664059023
